prd_id	prd_key	prd_nm	prd_cost	prd_line	prd_start_dt	prd_end_dt
398	CO-HB-HB-M243	LL Mountain Handlebars	20	M	2013-07-01	
399	CO-HB-HB-M763	ML Mountain Handlebars	25	M	2012-07-01	2008-12-27
400	CO-HB-HB-M763	ML Mountain Handlebars	27	M	2013-07-01	
401	CO-HB-HB-M918	HL Mountain Handlebars	49	M	2012-07-01	2008-12-27
402	CO-HB-HB-M918	HL Mountain Handlebars	53	M	2013-07-01	
403	CO-HB-HB-R504	LL Road Handlebars	18	R	2012-07-01	2008-12-27
404	CO-HB-HB-R504	LL Road Handlebars	20	R	2013-07-01	
405	CO-HB-HB-R720	ML Road Handlebars	25	R	2012-07-01	2008-12-27
406	CO-HB-HB-R720	ML Road Handlebars	27	R	2013-07-01	
407	CO-HB-HB-R956	HL Road Handlebars	49	R	2012-07-01	2008-12-27
408	CO-HB-HB-R956	HL Road Handlebars	53	R	2013-07-01	
409	CO-MF-FR-M63B-38	ML Mountain Frame - Black- 38	186	M	2012-07-01	2008-12-27
410	CO-WH-FW-M423	LL Mountain Front Wheel	27	M	2012-07-01	2008-12-27
411	CO-WH-FW-M762	ML Mountain Front Wheel	93	M	2012-07-01	2008-12-27
412	CO-WH-FW-M928	HL Mountain Front Wheel	133	M	2012-07-01	2008-12-27
413	CO-WH-FW-R623	LL Road Front Wheel	38	R	2012-07-01	2008-12-27
414	CO-WH-FW-R762	ML Road Front Wheel	110	R	2012-07-01	2008-12-27
415	CO-WH-FW-R820	HL Road Front Wheel	147	R	2012-07-01	2008-12-27
416	CO-WH-FW-T905	Touring Front Wheel	97	T	2012-07-01	2008-12-27
417	CO-RF-FR-R72Y-38	ML Road Frame-W - Yellow- 38	300	R	2012-07-01	2008-12-27
418	CO-RF-FR-R72Y-38	ML Road Frame-W - Yellow- 38	361	R	2013-07-01	
419	CO-WH-RW-M423	LL Mountain Rear Wheel	39	M	2012-07-01	2008-12-27
420	CO-WH-RW-M762	ML Mountain Rear Wheel	105	M	2012-07-01	2008-12-27
421	CO-WH-RW-M928	HL Mountain Rear Wheel	145	M	2012-07-01	2008-12-27
422	CO-WH-RW-R623	LL Road Rear Wheel	50	R	2012-07-01	2008-12-27
423	CO-WH-RW-R762	ML Road Rear Wheel	122	R	2012-07-01	2008-12-27
424	CO-WH-RW-R820	HL Road Rear Wheel	159	R	2012-07-01	2008-12-27
